threshold,file,x8r_warm_min_ms,tiktoken_warm_min_ms
always-heap,cjk_dense.txt,8.353582,25.566387
always-heap,long_words.txt,11.697066,10.343275
always-heap,deep_indent.txt,0.976339,11.328385
always-heap,markdown_rules.txt,18.46512,10.404011
always-heap,utf8_prose_small.txt,0.704073,0.558121
always-heap,ascii_code_small.txt,0.63952,1.072077
16,cjk_dense.txt,8.589794,26.102259
16,long_words.txt,12.210677,10.241018
16,deep_indent.txt,0.959862,12.056974
16,markdown_rules.txt,19.288766,10.206655
16,utf8_prose_small.txt,0.654118,0.557786
16,ascii_code_small.txt,0.610152,1.198994
32,cjk_dense.txt,8.637502,26.779487
32,long_words.txt,12.408083,10.18399
32,deep_indent.txt,0.965644,12.225046
32,markdown_rules.txt,19.443504,10.432898
32,utf8_prose_small.txt,0.66947,0.556183
32,ascii_code_small.txt,0.602197,1.171377
64,cjk_dense.txt,8.52404,26.818738
64,long_words.txt,12.473336,10.2437
64,deep_indent.txt,0.953174,11.563879
64,markdown_rules.txt,18.788323,10.441228
64,utf8_prose_small.txt,0.645152,0.556802
64,ascii_code_small.txt,0.601379,1.067015
100,cjk_dense.txt,8.54634,26.89188
100,long_words.txt,12.672242,10.231919
100,deep_indent.txt,0.971954,12.291271
100,markdown_rules.txt,17.935921,10.237992
100,utf8_prose_small.txt,0.656013,0.557179
100,ascii_code_small.txt,0.615017,1.014294
200,cjk_dense.txt,8.452875,26.948517
200,long_words.txt,19.210418,10.15523
200,deep_indent.txt,0.977748,12.286987
200,markdown_rules.txt,19.101066,10.424975
200,utf8_prose_small.txt,0.664854,0.559269
200,ascii_code_small.txt,0.659515,1.072483
always-linear,cjk_dense.txt,87.773195,27.216661
always-linear,long_words.txt,18.986317,10.443156
always-linear,deep_indent.txt,0.951348,12.651222
always-linear,markdown_rules.txt,20.382727,10.445837
always-linear,utf8_prose_small.txt,0.669221,0.57121
always-linear,ascii_code_small.txt,0.635548,1.195593
